arktik	cmevla			      	北冰洋
cigla	gismu   	-cig-		      	x_1是腺/腺体，分泌x_2，属于身体x_3；x_2是腺体x_1的分泌物	分泌物={selcigla}；参见 {vikmi}, {xasne}.
cikna	gismu   	-cik-		      	x_1是警惕的/警觉的	参见 {sanji}, {sipna}, {tatpi}.
cikre	gismu			      	x_1修理x_2，为了用途x_3	修理并不一定指完全的修复，也可能只是修复为了用途x_3需要修复x_2的一部分功能；参见 {cfila}, {spofu}.
ciksi	gismu   	-cki-		      	x_1（人）解释x_2（事物/状态/性质）给x_3，使用说辞/借口/原因x_4（du'u）	借口/原因x_4是被用来解释x_2的详细说明，通常假设其是不明显的，且其逻辑关系存在各种可能（即：jalge, mukti, krinu, rinka, nibli, zukte），但带有自身看法的解释者x_1的存在使得其不能简单地理解为各种已有的逻辑关系； 参见 {cipra}, {danfu}, {jalge}, {jinvi}, {krinu}, {mukti}, {nabmi}, {preti}, {rinka}, {sidbo}, {zukte}, {tavla}.
cilce	gismu   	-cic-		      	x_1是野性的/野蛮的/未开化的	驯服的= {tolcilce}； 参见 {pinfu}, {panpi}, {tarti}.
cilmo	gismu   	-cim-		      	x_1是湿润的/潮湿的，带有液体x_2	参见 {litki}, {lunsa}, {sudga}.
cilre	gismu   	-cli-		      	x_1学习/了解x_2（du'u），关于主题/科目x_3，资源x_4（物/事），方法是x_5（事件/进程）	参见 {ctuca}, {tadni}, {djuno}, {ckule}.
cilta	gismu   	-cil-		      	x_1是线/丝，由材料x_2构成	参见 {fenso}, {nivji}, {skori}, {silka}.
cimde	gismu			      	x_1（ka）是空间/物体x_2的尺寸/规格，基于标准/模板x_3	参见 {morna}, {ckilu}, {merli}, {manri}.
cimni	gismu			      	x_1是无限的/无尽的/恒久的，在性质/规格x_2上，以某种形式/数量x_3	永久的= {cimnytei}， 不朽的/永恒的= {cimnyteikai}/{temcimni}). 参见 {vitno}, {renvi}, {munje}, {fanmo}, {sisti}.
cinba	gismu			      	x_1亲/吻x_2于部位x_3	参见 {ctebi}.
cindu	gismu			      	x_1是橡树，属于品种/种类x_2	参见 {tricu}.
cinfo	gismu			      	x_1是狮，属于品种/种类x_2	参见 {mlatu}.
cinje	gismu   	-cij-		      	x_1是纹/痕/皱褶，位于x_2上	参见 {korcu}, {polje}, {boxfo}, {boxna}.
cinJIAN	cmevla			      	新疆
cinki	gismu			      	x_1是昆虫/节肢动物，属于品种/种类x_2	参见 {civla}, {danlu}, {jalra}, {jukni}, {manti}, {sfani}, {toldi}, {bifce}.
cinla	gismu			      	x_1是薄的，在方向/规格/尺寸x_2上，基于标准x_3	参见 {rotsu}, {jarki}, {tordu}, {cmalu}, {caxno}, {plana}, {jarki}.
cinmo	gismu   	-cni-		      	x_1感受到情绪x_2（ka），关于x_3	心情={nuncni}，参见： {ci'o}, {cumla}, {jilra}, {nelci}, {xendo}, {ckeji}, {cortu}, {jgira}, {kecti}, {kufra}, {manci}, {prami}, {steba}, {zungi}, {badri}, {burna}, {gleki}.
cinri	gismu   	-ci'i-		      	x_1是有趣的/对x_2来说；x_1引起x_2的兴趣；x_2对x_1感兴趣	在x_1位使用tu'a来表示物体中被特指的有趣处；对……感兴趣= {selci'i}；参见 {zdile}, {kucli}, {manci}, {kurji}.
cinse	gismu   	-cin-		      	x_1处于表现出其性取向x_3（ka）的活动/状态x_2中，基于标准x_4	也指：x_1调情；x_3可指：ka（性别/角色），ka（性吸引力）或ka（行为类型）；x_1关于性的；（x_1被x_2调情）={cinfriti}/{cinjikca}；参见 {gletu}, {pinji}, {plibu}, {vibna}, {vlagi}.
cinta	gismu			      	x_1（材料）是具有物质/颜色x_2的颜料/涂料，在基板/底板x_3上	参见 {pixra}, {skari}.
cinza	gismu			      	x_1是钳子/筷子状的工具，为了x_2能够夹起/捏住x_3	参见 {tutci}.
cipni	gismu   	-cpi-		      	x_1是鸟/禽，属于品种/种类x_2	参见 {datka}, {gunse}, {jipci}, {nalci}, {pimlu}, {vofli}, {xruki}, {danlu}.
cipra	gismu   	-cip-		      	x_1（过程/事件）是关于性质/状态x_2的测试/证据/检验，关于主题x_3（个体/集合/团体）	也指：考试/验证； x_3处为集合时，应当完全指明；参见 {ciksi}, {troci}, {jarco}, {pajni}, {saske}.
cirko	gismu   	-cri-		      	x_1失去/丢失了x_2（人/物），在位置x_3；x_1失去/脱离状态/特征x_2，在条件/情形x_3下	x_2可指特定的物体，商品（团体），事件（使用较少），或性质；涉及到所有权的“丢失”={po'ecri}时，丢失的物品/商品={posyselcri}；参见 {facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}.
cirla	gismu			      	x_1是乳酪/由乳酪构成，来源于x_2	参见 {ladru}.
ciska	gismu   	-ci'a-		      	x_1写 x_2 在载体 x_3上, 使用工具 x_4; x_1 书写的人.
cisma	gismu			      	x_1笑（面部表情）	因……而笑= {cismyfra}； 参见 {xajmi}, {cmila}, {frumu}.
ciste	gismu   	-ci'e-		      	x_1（团体）是系统，由结构x_2交互连接各部分x_3（集合），呈现性质x_4（ka）	x_1（或x_3）在x_4上存在协作关系，也指网络；x_2 也指 关系/规则；x_3 也指元素（完全指明的集合）；x_4指系统功能/性质 ；参见{ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}.
citka	gismu   	-cti-		      	x_1吃/进食x_2	参见 {cidja}, {pinxe}, {tunlo}, {xagji}, {xaksu}, {batci}, {gusta}, {kabri}.
citno	gismu   	-cit-   	-ci'o-	      	x_1是年轻的/相对时间短的，依据标准x_2	年龄= {nilnalci'o}；参见 {laldo}, {cnino}, {slabu}, {verba}.
citri	gismu   	-cir-		      	x_1是x_2的历史，根据x_3的说法/基于观点x_3	有历史意义的/在历史上重要的= {cirtermo'i}/{cirvai}；参见 {muzga}.
citsi	gismu			      	x_1是季节/季节性的，由性质/间隔x_2定义，属于年份x_3	周年纪念日={citsydei}/{na'arcitsydei}；五十年节（犹太）={mumnoncitsi}； 时间长度由x_2指定，可能每n年发生一次（由x_3指定，默认为1）；当x_2和/或x_3均被限定时，可取{djecitsi},{pavdeicitsi}；也指春/秋分或夏/冬至；参见 {cedra}, {crisa}, {critu}, {dunra}, {ranji}, {temci}, {vensa}, {jbena}.
civla	gismu   	-civ-		      	x_1是虱子/跳蚤，属于品种/种类x_2，寄生于x_3上	参见 {cinki}, {jalra}.
cizra	gismu   	-ciz-		      	x_1对x_2来说是陌生的/奇怪的/怪异的，在性质x_3（ka）上	也指神秘的/古怪的/变异的/诡异的/非同寻常的/与众不同的/外星球的/异域风情的等；参见 {ranxi}, {rirci}, {fange}, {banli}.
ckabu	gismu			      	x_1是胶/由胶构成，来源于x_2，组成物为x_3	参见 {pruni}.
ckafi	gismu   	-kaf-		      	x_1是咖啡/由咖啡构成，来源于来源/豆子/作物x_2	参见 {tcati}, brewed from a leaf, {barja}, {cakla}.
ckaji	gismu   	-kai-		      	x_1具有性质/尺寸/形状x_2(ka)；x_2是x_1所呈现的状态	性质/表现/特征/品质= {selkai}； 参见 {kai}, {tcaci}, {tcini}.
ckana	gismu   	-cka-		      	x_1是支撑板，由材料x_2构成，为了支撑x_3	参见 {kamju}, {kicne}, {nilce}, {palta}, {cpana}, {vreta}, {jubme}, {stizu}, {matci}, {zbepi}, {palne}, {sarji}.
ckape	gismu   	-cap-		      	x_1是危险的/有害的，对x_2来说，在条件/情形x_3下	x_1是对x_2有害的事物；参见 te {bandu}, te {kajde}, te {marbi}, se {snura}, se {xalni}.
ckasu	gismu   	-cas-		      	x_1嘲笑/嘲弄x_2，关于性质/事物x_3，通过方式/行为x_4	参见 {cmila}.
ckeji	gismu   	-kej-   	-cke-	      	x_1感觉耻辱/羞耻，在环境/条件/情形x_2下，在x_3面前	参见 {cinmo}.
ckiipyris	cmevla			      	阿尔巴尼亚
ckiku	gismu   	-kik-		      	x_1是钥匙，用以解开锁x_2，两者之间具有相关属性x_3	x_2 也指：紧固装置，机械装置，密码锁= {termifckiku}/{kiktermifra}；x_3指的是钥匙开对应的锁之间的原理/性质如挂锁中的钥匙齿与锁中弹子的对应；参见 {stela}.
ckilu	gismu   	-ci'u-		      	x_1（si'o）是计量单位，用来测量/定量x_2（状态）	参见 {ci'u}, {gradu}, {merli}, {cimde}, {manri}.
ckini	gismu   	-ki'i-		      	x_1与x_2是相关的/有联系的，其联系/关系为x_3	参见 {ki'i}, {ponse}, {srana}, {steci}, {mapti}, {sarxe}, {fange}.
ckire	gismu   	-kir-		      	x_1对x_2是充满感激/谢意的，因为事件/状态x_3	感激之情= {nunckire}/{kamckire}；参见 {cinmo}, {friti}, {pluka}.
ckule	gismu   	-kul-   	-cu'e-	      	x_1是学校/机构，位于x_2，教授课程/科目x_3给x_4，由x_5运营	也指：学院，大学；参见 {cilre}, {ctuca}, {tadni}.
ckunu	gismu   	-ku'u-		      	x_1是松/杉，属于品种/种类x_2，具有球果x_3	参见 {tricu}.
cladu	gismu   	-lau-		      	x_1是大声的/聒噪的，在x_2看来，基于标准x_3	参见 {savru}.
clani	gismu   	-cla-		      	x_1是长的，在尺寸/规格/方向x_2上，基于测量标准x_3	参见 {slabu}, {condi}, {ganra}, {rotsu}, {tordu}, {barda}, {ganra}, {gutci}, {minli}, {rotsu}.
claxu	gismu   	-cau-		      	x_1缺少/不含有/缺乏x_2	参见 {cau}, {cirko}, {kunti}, {nitcu}, {pindi}, {banzu}.
clika	gismu			      	x_1是苔/藓，属于品种/种类x_2，生长在x_3上；x_1是长满苔藓的（形容词）	参见 {mledi}.
clira	gismu   	-lir-		      	x_1（事件）是早的，依据标准x_2	参见 {lerci}.
clite	gismu   	-lit-		      	x_1是有礼貌的，在事件x_2中，依据标准/习俗x_3	也指：正式的，礼节性的；参见 {ritli}.
cliva	gismu   	-liv-   	-li'a-	      	x_1离开x_2/与x_2分开/脱离，通过路线x_3	参见 {litru}, {canci}, {vimcu}, {lebna}, {muvdu}.
clupa	gismu   	-cup-		      	x_1是由x_2（材料）构成的回路/环路	索套/绳套={skoclupa}/{saljgeclupa}，不特指何种形状，但需构成环路； 由点集构成的闭合曲线= {cuptai}； 参见 {djine}.
cmaci	gismu			      	x_1是数学，用以定义/描述x_2	参见 {mekso}.
cmalu	gismu   	-cma-		      	x_1是小的，在性质/维度x_2（ka）上，依据标准x_3	参见 {caxno}, {cinla}, {jarki}, {tordu}, {barda}.
cmana	gismu   	-ma'a-		      	x_1是山/丘，突起于地面x_2（团）	参见 {punli}, {derxi}.
cmavo	gismu   	-ma'o-		      	x_1是结构词，属于类x_2，具有意义/功能x_3，用于用途/语言x_4	x_4可能指特定的用法（嵌入语言中某位置）或一个语言的整体化描述；x_3和x_4可能只是指特定表达中的结构词用法的例证； 表示物体对象的结构词列表= {loi} {ma'oste}； 指示内涵结构结构词列表= {ma'orpoi}/ {ma'orselcmi}/{ma'orselste}；参见 {gismu}, {lujvo}, {gerna}, {smuni}, {valsi}.
cmeclax	cmevla			      	Nameless	意思是无名，一款匿名邮件软件的名字
cmene	gismu   	-cme-   	-me'e-	      	x_1（被引用的词）是x_2的名字/标题/特定标签，被x_3使用/引用	也指：x_2被x_3称作x_1；参见 {me'e}, {gismu}, {tcita}, {valsi}, {judri}
cmila	gismu   	-mi'a-		      	x_1笑（情感表达）	x_1笑x_2={mi'afra}；参见 {ckasu}, {frumu}, {xajmi}, {cisma}.
cmima	gismu   	-mim-   	-cmi-	      	x_1是集合x_2中的一个成员/元素；x_1属于组x_2	x_1可能是完全的/非完全的成员列表；x_2通常由la'i/le'i/lo'i指示，依据集合中共有属性定义，也有可能逐一例举每一个成员；参见 {ciste}, {porsi}, {jbini}, {girzu}, {gunma}, {klesi}, {mei}, {kampu}, {lanzu}, {liste}.
cmoni	gismu   	-cmo-   	-co'i-	      	x_1发出呐喊/咆哮/尖叫x_2（不具有语义的表达），为了表达性质/情绪x_3	也指：尖叫，大部分动物的叫（如：鸣/吠/嚎等）；参见 {krixa}, {bacru}, {cusku}, {cortu}.
cnano	gismu   	-na'o-		      	x_1是基准的/普通的/平均的，在性质/数量x_2（ni/ka）上，在集合x_3中，依据标准x_4	x_3指完整的集合；参见 {tcaci}, {fadni}, {kampu}, {lakne}, {tarti}, {rirci}.
cnebo	gismu   	-neb-   	-ne'o-	      	x_1是x_2的颈/项/脖子	参见 {galxe}, {cutne}.
cnemu	gismu   	-nem-   	-ne'u-	      	x_1奖励x_2，因为事件/性质x_3，奖品是x_4	与“获得报酬”不同，奖励不一定是正面的，但奖励施与者认为其是应当的；正面奖励= {zanyne'u}， 惩罚/负面奖励={malne'u}/{sfane'u}； x_4可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用 {posne'u}, {posyvelne'u}；参见 {dunda}, {friti}, {jerna}, {jinga}, {jivna}, {pleji}, {sfasa}, {venfu}, {prali}, {dapma}.
cnici	gismu   	-nic-		      	x_1是有序的/整齐的，在状态/性质/数量x_2（ka/ni）上	参见 {cunso}, {kalsa}.
cnino	gismu   	-nin-   	-ni'o-	      	x_1是新的/不熟悉的，对观察者x_2来说，在x_3（ka）方面，依据标准x_4	参见 {nuzba}, {slabu}, {citno}, se {djuno}.
cnisa	gismu   	-nis-		      	x_1是铅（Pb）；x_1是由铅构成的	参见 {jinme}, {tinci}.
cnita	gismu   	-nit-   	-ni'a-	      	x_1 在x_2的直接垂直下方，以参考系x_3为基准.
cokcu	gismu   	-cko-		      	x_1吸入/吸吮x_2，来自x_3，进入x_4；x_1是吸收剂	参见 {panje}, {sakci}, {lacpu}.
condi	gismu   	-con-   	-cno-   	-coi-      	x_1是深的，在长度/方向x_2上，远离参考点x_3，基于标准x_4	参见 {clani}, {caxno}, {bargu}, {ganra}, {rotsu}, {barda}, {gutci}, {minli}.
cortu	gismu   	-cor-   	-cro-	      	x_1在x_2位置感觉疼痛	参见 {cinmo}, {xrani}.
cpacu	gismu   	-cpa-		      	x_1得到/获得/收到x_2，来自x_3（不暗示所有权）	也指取得；获得礼物= {seldu'acpa}；参见 {punji}, {lebna}, {vimcu}.
cpana	gismu			      	x_1在x_2上面（上表面），基于参考标准/重力方向x_3	x_1可能是物体或事件；参见 se {vasru}, {jbini}, {zvati}, {nenri}, {vreta}, {ckana}, {diklo}, {jibni}, {lamji}, {zutse}, {punji}, {sarji}, {zbepi}.
cpare	gismu   	-par-		      	x_1在x_2表面爬行/匍匐，在x_3方向上，使用肢体/工具x_4	参见 {klama}, {litru}, {bajra}, {farlu}, {plipe}.
cpedu	gismu   	-cpe-		      	x_1请求/诉求/要求得到/发生x_2，来自x_3，使用方式x_4	命令= {mi'ecpe}；x_4是被使用的表达方式，参见 ve {cusku}；要求可能暗含在谈话/文本/行为之中（如：诉状/情愿通常是用文本，乞求则通常是行为甚至神态；参见 {pikci}, te {preti}, te {frati}, se {spuda}, {danfu}
cpina	gismu			      	x_1是辣的，对于感官x_2	让人刺痛的={pecycpina}；参见 {vrusi}, {kukte}, {cidja}, {panci}, {sumne}.
cradi	gismu			      	x_1使用无线电信号广播/传送信息/信号x_2，通过基站/频率x_3，给接受者x_4	x_1是广播公司/广播员；参见 {tivni}, {benji}, {tcana}.
crane	gismu   	-cra-		      	x_1位于x_2的前面/前方，面对方向/参考系为x_3	x_3是x_2的基准方向；参见 {sefta}, {flira}, {trixe}, {mlana}, {pritu}, {zunle}.
creka	gismu   	-cek-		      	x_1是衬衫/衬衣，材料是x_2	参见 {taxfu}.
crepu	gismu   	-rep-		      	x_1收获/丰收/收割/收集农作物/产品/物品x_2，来自资源/地区x_3	参见 {critu}, {sombo}, {jmaji}.
cribe	gismu   	-rib-		      	x_1是熊，属于品种/种类x_2	参见 {danlu}, {mabru}.
crida	gismu   	-rid-		      	x_1是仙女/精灵/哥布林（各种类人的虚构生物），属于神话/宗教x_2	也指：妖怪/恶魔/巨人等等比较：{ranmi}尤其指传说中非类人的生物；参见：{lijda})
crino	gismu   	-ri'o-		      	x_1是绿色的/青色的	参见 {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {cicna}.
cripu	gismu   	-rip-		      	x_1是桥/跨过式的通道通过/越过x_2，位于x_3和x_4之间（x_3和x_4不存在顺序，一般将终点放在前面）	参见 {bargu}, {kruca}, {ragve}, {kuspe}.
crisa	gismu   	-cis-		      	x_1是夏天（热的季节），属于年份x_2，位置x_3	参见 {citsi}, {critu}, {dunra}, {vensa}.
critu	gismu			      	x_1是秋天/秋季（丰收/变冷的季节），属于年份x_2，位置x_3	参见 {citsi}, {crisa}, {dunra}, {vensa}, {crepu}.
ctaru	gismu			      	x_1是浪潮（周期性的/循环性的扩展）在x_2上，由x_3导致	参见 {xamsi}.
ctebi	gismu   	-teb-		      	x_1是唇/孔口边缘，位于孔口x_2，位于身体x_3	参见 {moklu}, {korbi}, {cinba}.
cteki	gismu   	-tek-   	-ce'i-	      	x_1是税，针对货物/行为x_2征收，向x_3征收，征收者为x_4	也指：关税，供奉，朝贡等；参见 {pleji}, {flalu}, {turni}.
ctile	gismu			      	x_1是石油，来源于x_2	参见 {grasu}.
ctino	gismu   	-ti'o-		      	x_1是物体x_2的影子/阴影，由光线/光源x_3制造	参见 {manku}, {gusni}.
ctuca	gismu   	-ctu-		      	x_1教授/传授x_2知识/想法/方法x_3(du'u)，关于主题x_4，教授方法为x_5	也指：指导，教导，老师，导师等等；x_1/x_5是有关于教学的；参见 {ckule}, {cilre}, {tadni}.
cukla	gismu   	-cuk-		      	x_1是圆/圆形的物体	一般指实心的圆，但因为其强调的是“圆”形状，所以其也可能指圆环；参见 {djine}, {ranji}, {bolci}, {tarmi}.
cukta	gismu   	-cku-		      	x_1是书，含有内容有关x_2，作者为x_3，读者为x_4，书的载体为x_5	不一定是纸张构成的书；参见 {cfika}, {prina}, {prosa}, {tcidu}, {papri}.
culno	gismu   	-clu-		      	x_1饱含x_2,；x_1被x_2所灌满/充满	参见 {tisna}, {kunti}, {mulno}, {setca}, {tisna}.
cumki	gismu   	-cum-   	-cu'i-	      	x_1（事件/状态/性质）是可能的，在条件x_2下	也指：可能发生的事；参见 {lakne}.
cumla	gismu   	-cul-		      	x_1是谦虚的/谦逊的，关于x_2（谓词子句）；x_1表现得谦卑，关于x_2	参见 {cinmo}, {jgira}.
cunmi	gismu			      	x_1是小米/粟，属于品种/种类x_2	参见 {gurni}.
cunso	gismu   	-cun-   	-cu'o-	      	x_1是随机的/不可预测的，在条件x_2下，可能的结果分布为x_3	也指：意外的，偶然的；基于其“不可预测”的含义，有{cuncu'a}, {cunselcu'a}, {cunjdi}, {cunseljdi}；参见 {cnici}, {lakne}, {funca}, {kalsa}, {snuti}.
cuntu	gismu   	-cu'u-		      	x_1是事务/有组织的行动，属于x_2（个体/团体）；x_1是x_2的事情	x_2从事/进行着x_1 （通常是谓词子句）；参见 {jikca}, {srana}.
cupra	gismu   	-pra-		      	x_1生产产品x_2；通过过程x_3	参见 {zbasu}, {farvi}, {gundi}, {jukpa}.
curmi	gismu   	-cru-		      	x_1准许/准允x_2（事件），在条件x_3下；x_1授权x_2	充分条件={crutcini}；条件的准许者= {tcinycru}；参见 {rinju}, {banzu}, {ralte}, {jimte}, {jaspu}, {zifre}.
