e	cmavo			   	A      	sumti 論理積（AND）／～と～ ： 接続詞（論理・後置・sumti）； 前部と後部は共に真	「ko seka'a selkansa lo mapku .e lo pinxe djacu／帽子と飲み水を持参してください」 ・読み方： エ
e'a	cmavo			   	UI1      	許可 （ e'a 許可 - e'anai 禁止）	心態詞； それをしてもいい、そうであってもいいということを権威者として表す気持「.e'a do ze'a pa nanca ba xabju lo vi gugde／この国に1年間滞在することを許可する」「.e'a do tsebi'o／お座りになっても構いませんよ」 ・読み方： エハ  ・関連語： {curmi}
e'anai	cmavo-compound			   	UI*1      	禁止 （ e'a 許可 - e'anai 禁止）	心態詞； それをしてはならないということを権威者として表す気持「.e'anai ma'ersrogau／駐車禁止」「.e'a nai do ti stali／ここに立ち止まらないでください」 ・読み方： エハナイ  ・関連語： {tolcru}
ebu	bu-letteral			   	BY*      	e ： 字詞	「lo fasybau zo'u mutce pilno .ebu／フランス語はeの字をよく使う」 ・読み方： エブ
e'e	cmavo			   	UI1      	奨励 （ e'e 奨励 - e'enai 阻止）	心態詞； 励ます／挑発する気持 「do .e'e tigni lo ralju prenu／きみは主役にピッタリだ」「.e'e mi te jinga xu kau／私に勝てるかな」「.e'e ko jarco lo se kakne be do／お前の能力を見せつけてやれ！」「.e'e mi do bajra jivna fe'e co'u le karce／さあこい！車のところまで競走だ！」 ・読み方： エヘ  ・関連語： {talsa}
e'enai	cmavo-compound			   	UI*1      	阻止 （ e'e 奨励 - e'enai 阻止）	心態詞； 落胆させる／阻止する気持 「悪いけど」「.e'e nai mi bilga lo nu zukte lo drata／悪いけど他にやることがあるので」 ・読み方： エヘナイ  ・関連語： {zunti}, {dicra}
ei	cmavo			   	UI1      	義務 （ ei 義務 - einai 自由）	心態詞； それが義務である／当然であると見なす気持 「jisri'a ei／掃除しなくちゃだめでしょ」「lo datplinypre cu ei zasti／異星人は存在するにちがいない」「.ei lo verba gau cpacu lo nu ctuca／こどもに教育を受けさせる義務がある」「.ei mi cliva co'o／もう行かないと。バイバイ」「.ei le jatna cu ckeji／ボスは恥ずべきだな」「.ei do djuno／あなたは知っているはずだ／べきだ」 ・読み方： エイ  ・関連語： {bilga}
e'i	cmavo			   	UI1      	制約 （ e'i 制約 - e'inai 放任）	心態詞； それについて制約を与える／求める／義務を負わせる気持 「lo nu ko cadzu cu rinju lo pelxu dasri .e'i／黄色い線の内側をお歩きください」「.e'i ko ta mi dunda／それをこっちによこせ」 ・読み方： エヒ  ・関連語： {minde}, {ri'urgau}
einai	cmavo-compound			   	UI*1      	自由 （ ei 義務 - einai 自由）	心態詞； それが義務ではない／そうである必要はないと見なす気持 「.einai do mi spuda／返信してくれなくても良い」「.ei nai do tolnurcni／怖がらなくても良い」 ・読み方： エイナイ  ・関連語： {zifre}
e'inai	cmavo-compound			   	UI*1      	放任 （ e'i 制約 - e'inai 放任）	心態詞； それについて制約を与えない／求めない／解放する気持 「.e'inai lebna ti／ご自由にお取りください」「.e'i nai ko zukte lo se djica be do／好きなようにしなさい」 ・読み方： エヒナイ  ・関連語： {zi'ergau}
enai	cmavo-compound			   	A*      	sumti ～だが～ではない ： 接続詞（論理・後置・sumti）； 前部は真で後部は偽	「lo'e spencida cu zvati lo dzipo .enai lo tolzi'o／ペンギンは南極に居るが北極には居ない」 ・読み方： エナイ
e'o	cmavo			   	UI1      	要請 （ e'o 要請 - e'onai 提供）	心態詞； それをしてほしいという気持「してください」「おねがいします」「.e'o [do] vimku'a jinsa ralte／トイレをきれいに」「.e'o do dunda le silna mi／塩をいただけるかしら」「.e'o na ku ca'o lo nu zgike cu ze'o zo'i klama／演奏中に出入りしないでください」 ・読み方： エホ  ・関連語： {cpedu}, {pe'u}
e'onai	cmavo-compound			   	UI*1      	提供 （ e'o 要請 - e'onai 提供）	心態詞； それをしてあげるという気持 「どうぞ」「.e'o nai ko lebna lo titla／まあどうぞ、甘いものでも」  ・読み方： エホナイ   ・関連語： {friti}
e'u	cmavo			   	UI1      	提案 （ e'u 提案 - e'ucu'i 放棄 - e'unai 警告）	心態詞； 行為や概念を勧める気持「どうぞこれを」「これなどどうでしょう」「.e'u mi'o salci／お祝いしよう」 ・読み方： エフ  ・関連語： {stidi}
e'ucu'i	cmavo-compound			   	UI*1      	放棄 （ e'u 提案 - e'ucu'i 放棄 - e'unai 警告）	心態詞； 行為や概念を勧めとどまる気持「いや、なんでもありません」「.e'u cu'i do pinxe lo xalka／飲むなとは言わないが、お勧めはしない」 ・読み方： エフシュヒ
e'unai	cmavo-compound			   	UI*1      	警告 （ e'u 提案 - e'ucu'i 放棄 - e'unai 警告）	心態詞； 行為や概念を勧めない、控えるよう求める気持「よしたほうがいいでしょう」「.e'u nai do kargau le moklu／あなたは口を開かないほうが良い」 ・読み方： エフナイ  ・関連語： {kajde}, {o'i}
fa	cmavo			   	FA      	１番目の terbri ： 標識； terbri の左に付いてPS上の本来の位置を表す	・読み方： ファ
fa'a	cmavo			   	FAhA4      	～へ／に／～を方向として ： 間制詞（空間・方向）；	「fa'a lo cifnu poi klaku co'a lo cerni cu zi co'a cmabratu／朝から泣く児に霰がふつてきた」（山頭火『行乞記（二）』） ・読み方： ファハ
fa'e	cmavo			   	BAI      	～が逆で ： fatne 法制詞, x_1	・読み方： ファヘ
fai	cmavo			   	FA      	不特定番目の terbri ： terbri 位置標識； selbri のPSに terbri を追加	・読み方： ファイ
fa'i	cmavo			   	VUhU2      	逆数 ： 数理演算子（単一項）； [1/a]	・読み方： ファヒ
fa'o	cmavo			   	FAhO      	全文章の終了 ： 文章を無条件で閉じる； ロジバン文法の外の領域に出ることを示す； コンピュータ入力などで用いる	「完」 ・読み方： ファホ
fau	cmavo			   	BAI      	～という事と共に／～をして ： fasnu 法制詞, x_1	・読み方： ファウ
fa'u	cmavo			   	JOI      	それぞれ ： 接続詞（非論理・sumti/selbri）； A fa'u B broda X fa'u Z で「AとBがそれぞれXとZをbrodaする」	・読み方： ファフ
fau'u	experimental cmavo			   	COI      	ごめんなさい	{fraxu}, {u'u}
fe	cmavo			   	FA      	２番目の terbri ： 標識； terbri の左に付いてPS上の本来の位置を表す	・読み方： フェ
fe'a	cmavo			   	VUhU3      	平方根 ： 数理演算子（2変数）；a の b乗根 (デフォルトで平方根 b=2)	・読み方： フェハ
fe'e	cmavo			   	FEhE      	空間相の標識 ： 時間の相制を空間に変える	・読み方： フェヘ
fei	cmavo			   	PA2      	16進法B/10進法11 ： 数量詞；	・読み方： フェイ
fe'i	cmavo			   	VUhU1      	割り算 ： 数理演算子（n変数）； [(((a / b) / c) / ...)]	・読み方： フェヒ
fe'o	cmavo			   	COI      	談話終了 ：心態詞（呼応系）； 談話／会話／討議の終了を表す	・読み方： フェホ
fe'u	cmavo			   	FEhU      	法制詞selbri の終止 ： 境界詞； selbri の一時的法制化の終止を表す； 普通は省略可能	・読み方： フェフ
fi	cmavo			   	FA      	３番目の terbri ： 標識； terbri の左に付いてPS上の本来の位置を表す	・読み方： フィ
fi'a	cmavo			   	FA      	何番目の terbri ? ： 標識； terbri の左に付いてPS上の本来の位置を尋ねる	・読み方： フィハ
fi'e	cmavo			   	BAI      	～が創って ： finti 法制詞, x_1	・読み方： フィヘ
fi'i	cmavo			   	COI      	歓迎 ：心態詞（呼応系）；	・読み方： フィヒ
fi'i'e	experimental cmavo			   	COI      	〜へようこそ！
fi'inai	cmavo-compound			   	COI*      	無愛想 ：心態詞（呼応系）；	・読み方： フィヒナイ
fi'o	cmavo			   	FIhO      	法制詞selbri 生成 ： selbri をその場限りの法制に仕立てる	「loi cmana snime tai'i .kirakiran. cu jai gusni fi'o jikseicni lo litru／山の雪がきら／＼光つて旅人を寂しがらせる」（山頭火『行乞記（二）』） ・読み方： フィホ
fi'u	cmavo			   	PA3      	分数斜線 ： 数量詞； 左右の数のうち伏せられているものはデフォルトで1を表す	・読み方： フィフ
fo	cmavo			   	FA      	４番目の terbri ： 標識； terbri の左に付いてPS上の本来の位置を表す	・読み方： フォ
fo'a	cmavo   	-fo'a-		   	KOhA4      	sumti 変数（彼女／彼／其）６ ： 代詞（sumti）； goi で配当する	・大意： 其六 ・読み方： フォハ
fo'e	cmavo   	-fo'e-		   	KOhA4      	sumti 変数（彼女／彼／其）７ ： 代詞（sumti）； goi で配当	・大意： 其七 ・読み方： フォヘ
foi	cmavo			   	FOI      	複合文字終止 ： 境界詞； 複合文字の範囲の終わりを示す； 省略できない	・読み方： フォイ
fo'i	cmavo   	-fo'i-		   	KOhA4      	sumti 変数（彼女／彼／其）８ ： 代詞（sumti）； goi で配当	・大意： 其八 ・読み方： フォヒ
fo'o	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）９ ： 代詞（sumti）； goi で配当	・読み方： フォホ
fo'u	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）１０ ： 代詞（sumti）； goi で配当	・読み方： フォフ
fu	cmavo			   	FA      	５番目の terbri ： 標識； terbri の左に付いてPS上の本来の位置を表す	・読み方： フ
fu'a	cmavo			   	FUhA      	ポーランド記法 ：	・読み方： フハ
fu'e	cmavo			   	FUhE      	係り範囲の開始 ： ある語が修飾する／係る範囲の始点を表す； 修飾語は fu'e の直後に置く	・読み方： フヘ
fu'i	cmavo			   	UI5      	簡単 （ fu'i 簡単 - fu'inai 困難）	心態詞（修飾系）； ・読み方： フヒ  ・関連語： {frili}
fu'inai	cmavo-compound			   	UI*5      	困難 （ fu'i 簡単 - fu'inai 困難）	心態詞（修飾系）； ・読み方： フヒナイ
fu'o	cmavo			   	FUhO      	係り範囲の終了 ： ある語が修飾する／係る範囲の終点を表す	・読み方： フホ
fu'u	cmavo			   	VUhU0      	不特定MEX演算子 ： 数理演算子（n変数）；	・読み方： フフ
fy	cmavo			   	BY2      	f ： 字詞；	・読み方： ファ
ga	cmavo			   	GA      	論理和（OR）／～や～ ： 接続詞（論理・前置・sumti/bridi/文）； 前部と後部のどちらか或いは両が真； 後部は gi で繋ぐ	・読み方： ガ
ga'a	cmavo			   	BAI      	～から観て／を観察者として ： 法制詞； zgana の x_1	・読み方： ガハ
ga'e	cmavo			   	BY1      	大文字変換 ： 字詞を大文字に変換する	・読み方： ガヘ
gai	cmavo			   	PA2      	16進法C/10進法12 ： 数量詞	・読み方： ガイ
ga'i	cmavo			   	UI5      	上位 （ ga'i 上位 - ga'icu'i タメ - ga'inai 下位）	心態詞（修飾系）「高慢」「横柄」 ・読み方： ガヒ  ・関連語： {gapru}, {cnita}
ga'icu'i	cmavo-compound			   	UI*5      	タメ （ ga'i 上位 - ga'icu'i タメ - ga'inai 下位）	心態詞（修飾系） ・読み方： ガヒシュヒ
ga'inai	cmavo-compound			   	UI*5      	下位 （ ga'i 上位 - ga'icu'i タメ - ga'inai 下位）	心態詞（修飾系）「従順」 ・読み方： ガヒナイ
ganai	cmavo-compound			   	GA*      	論理含有／～なら～ ： 接続詞（論理・前置・sumti/bridi/文）； 前部が真なら後部は真； 後部は gi で繋ぐ	「ganai tinbe lo menli gi se bradi .i ganai jinru lo se cinmo gi se fleca'e .i ganai xarnu gi to'e zifre .i ro bu'a zo'u se gu bu'a gi lo prenu cecmu cu se xabju co nandu／智に働けば角が立つ。情に棹させば流される。意地を通せば窮屈だ。とかくに人の世は住みにくい。」（漱石『草枕』） ・読み方： ガナイ
ga'o	cmavo			   	GAhO      	包含間隔 ： 合間を表す bi'i や bi'o の左か右に付いて、その側の sumti が間隔範疇に含まれることを表す； 含まれないのを表すのは ke'i； 「A ga'obi'ike'i B／A（含む）からB（含まない）まで」	・読み方： ガホ
gau	cmavo			   	BAI      	～（動作者）によって／～がして ： gasnu 法制詞, x_1	「gau zgitigni .ije sanga／ひかせてうたつてゐる」（山頭火『行乞記（二）』） ・読み方： ガウ
ga'u	cmavo			   	FAhA2      	～の上方に／上側で ： 間制詞（空間・方向）；	・読み方： ガフ
ge	cmavo			   	GA      	論理積（AND）／～と～ ： 接続詞（論理・前置・sumti/bridi/文）； 前部と後部は共に真； 後部は gi で繋ぐ	・読み方： ゲ
ge'a	cmavo			   	VUhU0      	ヌル文字 ： 数理演算子；「被演算子なし」	・読み方： ゲハ
ge'e	cmavo			   	UI6      	不特定の感情／態度	心態詞 ・読み方： ゲヘ
gei	cmavo			   	VUhU2      	指数 ： 数理演算子（3変数）；b × (c [デフォルトで 10] の a 乗)	・読み方： ゲイ
ge'i	cmavo			   	GA      	接続詞質問（前置型） ： 接続詞（論理）； 前部と後部の論理関係を問う； 後部は gi で繋ぐ	・読み方： ゲヒ
ge'o	cmavo			   	BY1      	ギリシャ文字変換 ： 字詞をギリシャ文字に変換する	・読み方： ゲホ
ge'u	cmavo			   	GEhU      	関係句終止 ： 境界詞； GOI類で開かれた関係句の終わりを示す	・読み方： ゲフ
gi	cmavo			   	GI      	前置型論理接続の中間 ： 接続詞（論理）； GA類で開かれた前置型論理接続において左項と右項を取り繋ぐ	・読み方： ギ
