a	cmavo   \nA      \nlogical connective: sumti afterthought or.
bai'i	experimental cmavo   \nVUhU      \nmekso string operator (ternary): find-and-replace; in string/text/word/sequence X1 formally replace X2 (ordered tuple of terms to be replaced) with X3 (ordered tuple of terms to be respectively substituted)\nX2 and X3 are ordered tuples of substrings/letters/characters/letterals/digits/numerals. The ith term in tuple X2 is replaced with the ith term in tuple X3; the replacements are executed simultaneously (thus, no overlap/contradiction can be allowed to arise in the substitution- in particular, in X2)  - alternatively, if there is overlap/conflict in/between the terms of X2, the replacements are performed in order of presentation (the ith term in X2 is replaced by the ith term in X3, and then the (i+1)th term in X2 is replaced with the (i+1)th term in X3, starting with the 1st term in each). X2 and X3 must have the same length/number of terms - alternatively, X3 cannot be longer/have more terms than X2; in this situation, the ith term of X2 is replaced with the ith term of X3 until and including when the last term of X3 is reached, after which point the remaining terms in X2 are not replaced at all. Use a permutation acting on X2 as the argument for X3 in order to rearrange the substrings of X1; if the alphabet is ordered, then operators can be applied to the letters in order to rotate through the alphabet. In particular, if X1 is a binary string (a word over an alphabet of two letters) and X2 is the 2-tuple of the letters of that binary alphabet (length-1 substrings), then without specification of X3, this operator defaults to bitwise binary negation (bit conjugation) wherein each letter in X1 is replaced by the unique other letter in the binary alphabet (otherwise, the replacement would be the identity/trivial replacement or just a formal substitution letter-by-letter which does not really change the nature of the word). X1 and each entry in X2 and X3 should be quoted, match a necessary type (such as being a character), or be abstracted a level by symbolics. In general, the replacement is formal and the strings in X3 need not be over the same alphabet as the one over which X1 is written. This operator is useful for combinatorial lines and for expanding digits (such as, in a binary string, replacing each occurrence of &quot;0&quot; with &quot;01&quot; and each occurrence of &quot;1&quot; with &quot;10&quot;; note that the replacement is instantaneous and simultaneous for all terms of X2 and every occurrence of such terms in X1, thus this substitution is perfectly acceptable).
bainri	fu'ivla      \nx_1 is an executable/binary file to be run in system/runtime environment x_2.\nA calque on the English word &quot;binary&quot;. The x_1 refers more generally to executables, not necessarily binaries. This includes shell scripts and interpreted languages such as Python. The x_2 refers to runtime environments, which can be operating systems or more general environments such as virtual machines like the JVM. See also {samrkompli}, which is specifically about compiled programs.
baionet	cmevla      \nbayonet (arms)
baitni	fu'ivla      \nx_1 is measured in x_2 (default 1) bytes (unit of data/information, = 8 bits)\nSee {skami}, {datni}, {bitnymei}, {bitni} // Decimal prefixed forms (powers of 1000): {ki'orbaitni} {megbaitni} {gigbaitni} {tetybaitni} {petybaitni} {xexybaitni} {zepybaitni} {gotybaitni} // Binary prefixed forms (powers of 1024): {kirbibaitni} {merbibaitni} {girbibaitni} {terbibaitni} {perbibaitni} {xerbibaitni} {zerbibaitni} {gorbibaitni}
bajbakni	lujvo      \nx_1 is an antelope (any of various bovids) of species x_2.\nCf. {antilope}, {mirli}, {friko}, {mabru}, {cinfo}.
bajli'a	lujvo      \nb_1=c_1 runs away from c_2 via route c_3 on surface b_2 using limbs b_3 with gait b_4.\nCf. {darbajra}.
bajra	gismu   \n-baj-      \nx_1 runs on surface x_2 using limbs x_3 with gait x_4.\nSee also {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}.
bajriga	fu'ivla      \nx_1 is a budgerigar (Melopsittacus undulatus) of breed x_2\nCf. {melpsita}, {cipni}.
bajyjvi	lujvo      \nb_1=j_1 races against j_2 in race j_3 for prize j_4 on track b_2 with legs b_3 and gait b_4.\nCf. {xadyplijvi}, {bajykla}.
bajykla	lujvo      \nk_1=b_1 runs to destination k_2 from origin k_3 via route k_4 using limbs b_3 with gait b_4.\nCf. {dzukla}.
bajypipre'ojvi	lujvo      \nj_1=b_1=p_1=r_1 compete(s) in a track and field athletics match against j_2 in competition j_3 for prize/title j_4.\nFrom {bajra}, {plipe}, {renro}, {jivna}. Cf. {bajypipre'oterjvi}.
bajystu	lujvo      \ns_1=b_2 is a running track.\nCf. {bajyjvi}.
bakcange	lujvo      \nc_1 is a cattle ranch at c_2 where farmer c_3 raises cattle c_4=b_1.\nCf. {ba'ostu}.
bakcatra	lujvo      \nx_1 kills bull/cow x_2 by method x_3.
bakcmo	lujvo      \nc_1=b_1 moos expressing c_3 (property).\nSee also {bakni}, {cmoni}.
bakfu	gismu   \n-baf-      \nx_1 is a bundle/package/cluster/clump/pack [shape/form] containing x_2, held together by x_3.\nSee also {daski}, {dakli}, {tanxe}.
baklanme	lujvo      \nl_1 is a musk ox of breed l_2 belonging to herd l_3.
bakma'i	lujvo      \nm_1 is May of year m_2 in calendar m_3.\nCf. {mumymast}, {mumymasti}, {kanbyma'i}, {nanca}.
bakni	gismu   \n-bak-      \nx_1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x_2.\nSee also {danlu}.
baknis	cmevla      \nx_1 is Taurus [constellation/astrological sign].\nFrom bakni (=cow/cattle/kine/ox/[bull/steer/calf]; lojban); Taurus (=bull, bullock, steer; latin).
baknrzebu	fu'ivla      \nx_1 is a zebu/Bos indicus of species/subspecies x_2\nSee also {bakni}
bakplixa	lujvo      \np_1 plows p_2 with tool p_3 propelled by oxen/cattle of species/breed b_2.\nCf. {bakykakpa}, {cange}.
bakrbisoni	fu'ivla      \nb_1 is a bison/wisent (genus Bison) of species/breed b_2.
bakrbubalu	fu'ivla      \nb_1 is a buffalo/anoa/tamaraw (genus Bubalus) of species/breed b_2.
bakrecpa'o	lujvo      \np_1=r_1 is a beefsteak.
bakre'u	lujvo      \nr_1 is beef/bovine meat from species/breed r_2=b_2.
bakrgauru	fu'ivla      \nb_1 is a gaur/Indian bison (Bos gaurus) of species/breed b_2.
bakri	gismu      \nx_1 is a quantity of/contains/is made of chalk from source x_2 in form x_3.\nSee also {pinsi}, {blabi}, {jilka}.
bakrycedra	lujvo      \nx_1 is the Cretaceous Era.
bakrypamspa	lujvo      \nx_1 is a gyp/baby's breath (genus Gypsophilia) of species/strain/cultivar x_2.\nIts botanical name means &quot;lover of chalk&quot;, which is accurate in describing the type of soil in which this plant grows.
bakskapi	lujvo      \ns_1 is hide/leather of/from bovine s_2=b_1, of species b_2.
baktu	gismu      \nx_1 is a bucket/pail/can/deep, solid, wide-topped container of contents x_2, made of material x_3.\nSee also {botpi}, {patxu}, {tansi}, {lante}, {lanka}.
baktydekpu	lujvo      \nd_1 is d_2 bucketfull(s) of contents b_2.\nCf. {litce}.
bakyjanbe	lujvo      \nj_1 is a cowbell producing sound/note j_2.
bakyjba	lujvo      \nx_1 is a cowberry/lingonberry/blueberry/cranberry of species/variety x_2.
bakykakpa	lujvo      \nx_1 plows, removing x_2 from x_3 using tool x_4 and oxen x_5.\nCf. {bakplixa}, {cange}, {foldi}, {ba'ostu}.
balcme	lujvo      \nx_1 is the title (honorific appellation) of x_2 used by x_3
balcre	lujvo      \nx_1 is a master of/at x_2 (ka)
balcu'e	lujvo      \nc_1 is a university at c_2 teaching subject(s) c_3 to audience/community c_4 operated by c_5.\nCf. {ma'urcu'e}, {balkulctu}, {ctufau}, {tadni}, {saske}, {cilre}.
baldakino	fu'ivla      \nx_1 is a baldaquin
baldakyxa'i	lujvo      \nxa_1 is a great sword for use against xa_2 by x_3.\nCf. {cladakyxa'i}.
balgu'e	lujvo      \ng_1=b_1 is an empire of peoples g_2 with land/territory g_3.\nCf. {banli}, {gugde}, {suzgugje'a}.
baljamna	lujvo      \nj_1 fights a great war against j_2 over territory/matter j_3.
balji	gismu      \nx_1 is a bulb [body-part] of plant/species x_2; [metaphor: rounded, bulgy].\nSee also {punli}, {batke}.
baljypau	lujvo      \nx_1 is a clove of bulb x_2 of plant/species x_3.\nsee also {sunga}, {kriofla}
balku'a	lujvo      \nk_1 is a Hall in structure k_2 surrounded by partitions/walls/ceiling/floor k_3 (mass/jo'u).\nCf. {nolzda}, {badydi'u}.
balkulctu	lujvo      \nx_1 is a professor teaching audience x_2 ideas/methods/lore x_3 (du'u) about subject(s) x_4 by method x_5 (event).\nCf. {balcu'e}, {balkultadni}.
balkumdansu	lujvo      \nd_1 (individual, mass) ballroom dances to accompaniment/music/rhythm d_2.
balnema	fu'ivla      \nx_1 is a baleen whale of species x_2\nSee also {orka}
balni	gismu      \nx_1 is a balcony/overhang/ledge/shelf of building/structure x_2.\nSee also {kajna}.
balnoltru	lujvo      \nt_1=n_1=b_1 is the emperor/empress/kaiser/tsar of peoples/territories t_2.\nCf. {banli}, {nobli}, {turni}, {nolraitru}, {nolkansa}, {nolse'u}, {gugja'a}, {truralju}.
balpi'o	lujvo      \np_1 is a grand piano.\nSee also: {mrupi'o}, {sa'irpi'o}, {tu'urpi'o}, {cpupi'o}, {runpi'o}, {dicpi'o}
balplin	cmevla      \nName:  Jupiter\nA {jvocmevo} meaning &quot;{banli} {plini}&quot;, or &quot;grand planet&quot;.  Named so because it is the largest of the planets in our solar system, and its gravity is far higher than that of Saturn, the largest one smaller than it.  See also {mumplin} {remsol} {stoplin} {vidyplin} {remted} {remlur} {xunplin} {melplin}.
balre	gismu   \n-ba'e-      \nx_1 is a blade of tool/weapon x_2.\nSee also {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}.
balsai	lujvo      \ns_1=b_1 is a banquet/feast including dishes s_2, elaborate by standard b_3.\nCf. {banli}, {sanmi}, {vacysai}, {tersla}, {pixsla}, {ctisla}, {nuncti}.
balsoi	lujvo      \ns_1=b_1 is a great soldier of army s_2 great in property b_2 (ka) by standard b_3.\nCf. {jamna}.
baltutra	lujvo      \nt_1=b_1 is a realm belonging to/controlled by t_2, great in property b_2 (ka) by standard b_3.\nCf. {noltru}.
balvi	gismu   \n-bav-      \nx_1 is in the future of/later than/after x_2 in time sequence; x_1 is latter; x_2 is former.\nAlso sequel, succeed, successor, follow, come(s) after; time ordering only (use {lidne} otherwise); aorist in that x_1 may overlap in time with x_2 as long as it extends afterwards; non-aorist future (= {cfabalvi}); (default x_2 is the space time reference, whereupon:) x_1 will occur.  See also {lidne}, {cabna}, {purci}, {farna}.
balzgibe'e	lujvo      \nba_1=be_1 is an orchestra, consisting of performers be_2, and conducted by be_3, performing music z_1=be_4.\nCf. {cibjgataidamri}, {bikydamri}, {jgita}.
bambola	fu'ivla      \nx_1 is a doll\nSee {kelci}
bambu	experimental gismu      \nx_1 is a bamboo (Bambuseae) of genus/species x_2.\nCf. {spati}, {tricu}.
bamrdinamite	fu'ivla      \nx_1 is a bomb/explosive device using dynamite as explosive material.\nSee also: {granrdinamite}.
bamrti'enti	fu'ivla      \nx_1 is a bomb/explosive device utilizing trinitrotoluene (TNT) as explosive material.\nSee also: {xumrti'enti}.
bamvinji	lujvo      \nv_1 is a bomber carrying bomb v_2=j_1 with explosive material/principle j_2, aircraft propelled by v_3.\nCf. {jbama}, {vinji}, {jamvinji}, {badvinji}, {jamvijgri}.
ban	cmevla      \nbang!
banbau	lujvo      \nb_1 is a metalanguage used by b_2 to talk about object language b_3.\nCf. {bangu}.
banbu'a'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''baa'' (Babatana).\nSee also {bangu}
banbu'abu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bab'' (Bainouk-Gunyuño).\nSee also {bangu}
banbu'acu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bac'' (Badui).\nSee also {bangu}
banbu'a'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bae'' (Baré).\nSee also {bangu}
banbu'afu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''baf'' (Nubaca).\nSee also {bangu}
banbu'agu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bag'' (Tuki).\nSee also {bangu}
banbu'aje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bay'' (Batuley).\nSee also {bangu}
banbu'aju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''baj'' (Barakai).\nSee also {bangu}
banbu'aku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bak'' (Bashkir).\nSee also {bangu}
banbu'alu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bal'' (Baluchi).\nSee also {bangu}
banbu'amu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bam'' (Bambara).\nSee also {bangu}
banbu'anu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''ban'' (Balinese).\nSee also {bangu}
banbu'a'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bao'' (Waimaha).\nSee also {bangu}
banbu'apu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bap'' (Bantawa).\nSee also {bangu}
banbu'aru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bar'' (Bavarian).\nSee also {bangu}
banbu'asu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bas'' (Basa (Cameroon)).\nSee also {bangu}
banbu'a'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bau'' (Bada (Nigeria)).\nSee also {bangu}
banbu'ave	fu'ivla      \nx_1 is the language with ISO 639-3 code ''baw'' (Bambili-Bambui).\nSee also {bangu}
banbu'avu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bav'' (Vengo).\nSee also {bangu}
banbu'axe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bah'' (Bahamas Creole English).\nSee also {bangu}
banbu'axu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bax'' (Bamun).\nSee also {bangu}
banbu'azu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''baz'' (Tunen).\nSee also {bangu}
banbubu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bba'' (Baatonum).\nSee also {bangu}
banbububu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbb'' (Barai).\nSee also {bangu}
banbubucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbc'' (Batak Toba).\nSee also {bangu}
banbubudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbd'' (Bau).\nSee also {bangu}
banbubu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbe'' (Bangba).\nSee also {bangu}
banbubufu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbf'' (Baibai).\nSee also {bangu}
banbubugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbg'' (Barama).\nSee also {bangu}
banbubu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbi'' (Barombi).\nSee also {bangu}
banbubuje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bby'' (Befang).\nSee also {bangu}
banbubuju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbj'' (Ghomálá').\nSee also {bangu}
banbubuke	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbq'' (Bamali).\nSee also {bangu}
banbubuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbk'' (Babanki).\nSee also {bangu}
banbubulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbl'' (Bats).\nSee also {bangu}
banbubumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbm'' (Babango).\nSee also {bangu}
banbubunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbn'' (Uneapa).\nSee also {bangu}
banbubu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbo'' (Northern Bobo Madaré).\nSee also {bangu}
banbubupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbp'' (West Central Banda).\nSee also {bangu}
banbuburu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbr'' (Girawa).\nSee also {bangu}
banbubusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbs'' (Bakpinka).\nSee also {bangu}
banbubutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbt'' (Mburku).\nSee also {bangu}
banbubu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbu'' (Kulung (Nigeria)).\nSee also {bangu}
banbubuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbw'' (Baba).\nSee also {bangu}
banbubuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''bbv'' (Karnai).\nSee also {bangu}
