a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
blaci	gismu      \nx_1 — стекло, в состав которого входит x_2; x_1 содержит стекло\n{kabri} (чашка)
blanu	gismu   \n-bla-      \nx_1 — синий/голубой/лазурный (о цвете); x_1 синеет\n{skari} (иметь цвет), {blabi} (белый), {xekri} (черный), {zirpu} (сиреневый), {kandi} (тусклый), {carmi} (интенсивный), {cicna} (бирюзовый)
bliiardo	fu'ivla      \nx_1 - это биллиард, бильярд (игра), характеризуемая x_2\nСм. {kelci}
bliku	gismu   \n-bli-      \nx_1 — блок/глыба/кусок (3-мерная форма) материала x_2 со сторонами/гранями x_3\nx_3 должно включать число, размер и форму; Также: многогранник: {pitybli} — имеющий плоские грани), правильный многогранник: {kubybli}, {blikubli}, кирпич: {kitybli} {tapla} (плитка), {kubli} (куб), {tanbo} (доска), {canlu} (объем), {kojna} (угол [телесный]), {sefta} (поверхность), {bolci} (шар), {kurfa} (прямоугольник), {tarmi} (идея [концептуальная форма])
bloti	gismu   \n-lot-   \n-blo-   \n-lo'i-      \nx_1 — лодка/корабль/судно (средство передвижения) для перевозки x_2 (чего), движимое x_3 (чем)\n{falnu} (парус), {fulta} (плавать [пассивно]), {marce} (транспорт), {jatna} (лидер), {sabnu} (кабина)
bo	cmavo   \n-bor-   \nBO      \nсоединитель короткой сферы действия; соединяет различные конструкции с кратчайшей сферой действия и правой группировкой
boi	cmavo   \nBOI      \nопускаемый терминатор: завершает последовательность цифр или строку из буквенных символов
boirlokra	lujvo      \nx_1 - это мокрица свёртывающаяся рода/вида x_2\nСм. {onskide}
bolci	gismu   \n-bol-   \n-boi-      \nx_1 — шар/сфера (форма) из материала x_2; x_1 — сферический объект (сделанный из x_2)\nТакже: круглый {bliku} (блок [глыба]), {cukla} (круг), {bidju} (бисер), {gunro} (катиться)
bombila	fu'ivla      \nx_1 - это электрическая лампочка, лампа накаливания\nгерметически закрытый стеклянный сосуд (обычно грушевидной формы), служащий для освещения электричеством 
bongu	gismu   \n-bog-   \n-bo'u-      \nx_1 — кость (часть тела), исполняющая функцию x_2 в теле x_3\nВ большинстве случаев x_2 — абстракция: напр. опора/каркас для части тела ({tu'a} {le} «часть тела»); возможны и другие функции кости, как для косточек внутреннего уха; хрящ: {ranbo'u}; скелет: {bogygreku} {greku} (каркас), {denci} (зуб), {jirna} (рог [у животных]), {sarji} (поддерживать [помогать])
boRIS	cmevla      \nБорис (русское мужское имя)
botpi	gismu   \n-bot-   \n-bo'i-      \nx_1 — бутылка/фляга/банка/канистра/бак/цистерна (закрываемый сосуд) с содержимым x_2, из материала x_3, с крышкой/затычкой x_4\nсодержимое может только предполагаться (быть потенциальным), например: « бутылка для x_2». См. {baktu} (ведро), {lante} (банка [консервная]), {patxu} (котел), {tansi} (миска), {tanxe} (коробка), {vasru} (содержать), {gacri} (покрывать [в качестве крышки])
boxfo	gismu   \n-bof-   \n-bo'o-      \nx_1 — пластина/пленка/мембрана/фольга/лист (2-мерная форма, гибкая в трех измерениях) из материала x_2\n{plita} (плоскость), {cinje} (складка), {polje} (морщить), {slasi} (пластмасса), {tinci} (олово)
boxna	gismu   \n-bon-   \n-bo'a-      \nx_1 — волна (периодическая структура) в среде x_2, имеющая форму x_3, длину x_4 и частоту x_5\n{slilu} (колебаться), {dikni} (регулярный [циклический]), {cinje} (складка), {polje} (морщить), {morna} (узор), {canre} (песок)
bradi	gismu      \nx_1 — противник/оппонент/враг x_2 (чей) в конфликте/противостоянии x_3\n{damba} (драться), {jamna} (воевать), {darlu} (отстаивать [позицию]), {pendo} (друг), {fapro} (противостоять), {gunta} (нападать), {sarji} (поддерживать [помогать]), {jivna} (соревноваться), {jinga} (выигрывать [побеждать])
