agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
caxno	gismu   \n-cax-      \nx_1 estas malprofunda laŭ direkto/eco x_2 disde referenca punkto x_3 laŭ normo x_4\nVidu ankaŭ {condi}, {tordu}, {jarki}, {cinla}, {cmalu}, {jarki}, {jmifa}.
ce	cmavo   \n-cec-      \nnelogika kunigilo: konjunkcio; kaj, are kun, formanta aron\nVidu ankaŭ {cmima}, cmavo {ce'o}.
cecla	gismu   \n-cel-   \n-ce'a-      \nx_1 lanĉas/pafas pafaĵon/ĵetaĵon x_2, pelita de x_3\nAnkaŭ: x_1 estas pafilo/lanĉilo/ĵetilo/kanono; ĵeti (pli ĝenerala ol renro en tio, ke pelo ne nepre estas interna al x_1).  Vidu ankaŭ {renro}, {danti}, {jakne}, {jbama}, {spoja}.
cecmu	gismu   \n-cem-   \n-ce'u-      \nx_1 estas komunumo/kolonio de organismoj x_2\nVidu ankaŭ {bende}, {kulnu}, {natmi}, {tcadu}, {jecta}, {girzu}.
cedra	gismu      \nx_1 estas epoko/erao karakterizita de x_2 (okazo/eco/intervalo/ideo)\n(intervalo x_2 estu la difinaj limoj; se temas pri nur karakteriza periodo, oni esprimu la naturon de la intervalon per abstrakta bridi, aŭ la intervalon oni marku per tu'a; x_2 ankaŭ povas esti karakterizaj objektoj aŭ praktikoj de la epoko, se markita per tu'a); Vidu ankaŭ {ranji}, {temci}, {citsi}.
ce'i	cmavo   \n-cez-      \ncifero/nombro: % simbolo de elcento, centonoj\nVidu ankaŭ {saclu}, {centi}, {parbi}, {frinu}.
cenba	gismu   \n-cne-      \nx_1 varias/ŝanĝiĝas laŭ eco/kvanto x_2 (ka/ni) en kvanto/grado x_3 sub kondiĉoj x_4\nNerezulta, ne nepre kaŭza ŝanĝiĝo.  (kp. cenba kiu estas nerezulta, galfi kiu estas rezulta kaj kaŭza, stika kiu estas nerezulta kaj kaŭza; stodi, zasni, binxo)
censa	gismu   \n-ces-      \nx_1 estas sankta por homo/popolo/kulturo/religio/kulto/grupo x_2\n(kp. cevni, krici, latna, prŭi, lijda, sinma)
centi	gismu   \n-cen-      \nx_1 estas centono [1/100; 1x_10**-2] de x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
ce'o	cmavo   \n-ce'o-      \nnelogika kunigilo: konjunkcio; kaj, sinsekve kun, formanta sinsekvon\nVidu ankaŭ {porsi}, cmavo {ce}.
cerda	gismu   \n-ced-      \nx_1 heredas x_2-on (objekto/kvalito) de x_3 laŭ regulo x_4\nPedante, heredo de objekto estu sumti-levado (tu'a se estas neabstraktaĵo en x_2) el heredo de loka ponse la objekto - la posedo de la objekto (=posycerda, posyselcerda por neambigua semantiko).  Vidu ankaŭ {jgina}.
cerni	gismu   \n-cer-      \nx_1 estas mateno [de sunleviĝo ĝis post loka kutima komenco de laboro] de tago x_2 en loko x_3\nĉi tiu mateno (= {cabdeicerni}); morgaŭa mateno (= {bavlamcerni}); hieraŭa mateno (= {prulamcerni}, {prulamdeicerni}). Vidu ankaŭ {vanci}, {murse}, {tcika}.
certu	gismu   \n-cre-      \nx_1 estas spertulo/profesiulo pri x_2 (okazo/ago) laŭ normo x_3\nAnkaŭ: kompetenta, lerta.  Vidu ankaŭ {djuno}, {stati}, {kakne}.
cevni	gismu   \n-cev-   \n-cei-      \nx_1 estas (la) dio de popolo/religio x_2 reganta super x_3 [sfero]; x_1 estas dia\nVidu ankaŭ {censa}, {krici}, {lijda}, {malsi}.
cfari	gismu   \n-cfa-      \nx_1 [stato/okazo/procedo] komenciĝas/ekokazas; (netransitiva verbo)\nVidu ankaŭ {sisti}, {krasi}, {fanmo}.
cfika	gismu   \n-fik-   \n-fi'a-      \nx_1 estas fikcio pri temo/intrigo x_2/sub convencio x_2 de aŭtoro x_3\nAnkaŭ: mensogo, malveraĵo.  Vidu ankaŭ {cukta}, {lisri}, {prosa}, {fatci}, {jitfa}, {jetnu}, {xanri}.
cfila	gismu   \n-cfi-      \nx_1 (eco - ka) estas makulo/difekto sur x_2 kaŭzanta x_3\nVidu ankaŭ {cikre}, {srera}, {fenra}, {fliba}, {prane}.
cfine	gismu      \nx_1 estas kojno [formo/ilo] el materialo x_2\nVidu ankaŭ {tutci}.
cfipu	gismu   \n-fi'u-      \nx_1 (okazo/stato) konfuzas/perpleksigas x_2-on [observanto] pro [konfuza] eco x_3 (ka)\nVidu ankaŭ {pluja}, {cfipu}, {zunti}.
ci	cmavo   \n-cib-      \ncifero/nombro: 3 (cifero)
ciblu	gismu   \n-blu-      \nx_1 estas sango/vivfluido de organismo x_2\nVidu ankaŭ {risna}, {flecu}.
cicna	gismu      \nx_1 estas bluverda/turkiskolora [koloradjektivo]\nVidu ankaŭ {skari}, {blabi}, {xekri}, {kandi}, {carmi}, {crino}, {blanu}.
cidja	gismu   \n-dja-      \nx_1 estas nutraĵo/manĝaĵo por x_2; x_1 nutras x_2-on; x_1 estas manĝebla por x_2\nVidu ankaŭ {citka}, {nitcu}, {pinxe}, {xagji}, {cpina}.
cidni	gismu   \n-cid-      \nx_1 estas genuo/kubuto/fingrartiko [korpoparto] de membro x_2 de korpo x_3\nMetafore: abrupta kurbo. Vidu ankaŭ {korcu}, {jarco}, {jganu}.
cidro	gismu   \n-dro-      \nx_1 estas kvanto da/enhavas/konsistas el hidrogeno (H); [metafore: malpeza, flamigebla]\nVidu ankaŭ {gapci}, {xukmi}.
cifnu	gismu   \n-cif-      \nx_1 estas bebo/infano [ekde senhelpa ĝis junaĝo/nematura] de speco x_2\nAnkaŭ: infaneca.  Vidu ankaŭ {makcu}, {verba}.
cigla	gismu   \n-cig-      \nx_1 estas glando [korpoparto] sekrecianta x_2-on, de korpo x_3; x_2 estas secrecio de x_1\nSekrecio (= {selcigla}).  Vidu ankaŭ {vikmi}, {xasne}.
cikna	gismu   \n-cik-      \n(adjektivo:) x_1 estas vigla/maldorma/konscia\nVidu ankaŭ {sanji}, {sipna}, {tatpi}.
cikre	gismu      \nx_1 riparas/plibonigas x_2-on por uzo x_3\nRiparo povas esti nekompleta, riparante nur unu el la eblaj uzoj de x_2, do x_3.  Vidu ankaŭ {cfila}, {spofu}.
ciksi	gismu   \n-cki-      \nx_1 (homo) klarigas x_2-on (okazo/stato/eco) al x_3 per klarigo x_4 (du'u)\nKlarigo x_4 estas subkuŝanta mekanismo/detaloj/celo/metodo por x_2 (= velcki por reordigitaj {lokoj}), ĝenerale supozita ne memevidenta; metafora uzo kun la kaŭzaj rilatoj (t.e. jalge, mukti, krinu, rinka, nibli, zukte) estas ebla, sed la ne-memevidenteco, kaj la ekzisto de klariganto kun vidpunkto igas ĉi tiun vorton ne simpla esprimo de kaŭzo.  Vidu ankaŭ {cipra}, {danfu}, {jalge}, {jinvi}, {krinu}, {mukti}, {nabmi}, {preti}, {rinka}, {sidbo}, {zukte}, {tavla}.
cilce	gismu   \n-cic-      \n(adjektivo:) x_1 estas sovaĝa\nMalsovaĝa, dresita (= {tolcilce}).  Vidu ankaŭ {pinfu}, {panpi}, {tarti}.
cilmo	gismu   \n-cim-      \nx_1 estas malseka /humida kun likvaĵo x_2\nVidu ankaŭ {litki}, {lunsa}, {sudga}.
cilre	gismu   \n-cli-      \nx_1 lernas x_2-on (du'u) pri temo x_3 el fonto x_4 (obj./okazo) per metodo x_5 (okazo/procedo)\nVidu ankaŭ {ctuca}, {tadni}, {djuno}, {ckule}.
cilta	gismu   \n-cil-      \nx_1 estas fadeno/filamento/drato/fibro [formo] el materialo x_2\nVidu ankaŭ {fenso}, {nivji}, {skori}, {silka}.
cimde	gismu      \nx_1 (eco - ka) estas dimensio de spaco/objekto x_2 laŭ regulo/modelo x_3\nVidu ankaŭ {morna}, {ckilu}, {merli}, {manri}.
cimni	gismu      \nx_1 estas senlima/senfina/eterna laŭ eco/dimensio x_2, je grado x_3 (kvanto)/de tipo x_3\nAnkaŭ: porĉiama, eterno, (= {cimnytei}), eterna (= cimnyteikai aŭ temcimni). Vidu ankaŭ {vitno}, {renvi}, {munje}, {fanmo}, {sisti}.
cinba	gismu      \nx_1 (aganto) kisas x_2-on je loko x_3\nVidu ankaŭ {ctebi}.
cindu	gismu      \nx_1 estas kverko, arbo de speco/raso x_2\nVidu ankaŭ {tricu}.
cinfo	gismu      \nx_1 estas leono de speco/raso x_2\nVidu ankaŭ {mlatu}.
cinje	gismu   \n-cij-      \nx_1 estas sulketo/ĉifaĵo/faldo [formo] in x_2\nVidu ankaŭ {korcu}, {polje}, {boxfo}, {boxna}.
cinki	gismu      \nx_1 estas insekto/artropodo de speco x_2; [cimo/skarabo]\nVidu ankaŭ {civla}, {danlu}, {jalra}, {jukni}, {manti}, {sfani}, {toldi}, {bifce}.
cinla	gismu      \nx_1 estas maldika laŭ direkto x_2 laŭ normo x_3; [mallonga laŭ la plej malgranda dimensio]\nVidu ankaŭ {rotsu}, {jarki}, {tordu}, {cmalu}, {caxno}, {plana}, {jarki}.
cinmo	gismu   \n-cni-      \nx_1 sentas emocion x_2 (ka) pri x_3; x_1 emociiĝas pri x_3 kun emocio x_2; x_3 estigas emocion x_2 en x_1\nAnkaŭ: humoro (= {nuncni}).  Vidu ankaŭ cmavo {ci'o}, {cumla}, {jilra}, {nelci}, {xendo}, {ckeji}, {cortu}, {jgira}, {kecti}, {kufra}, {manci}, {prami}, {steba}, {zungi}, {badri}, {burna}, {gleki}.
cinri	gismu   \n-ci'i-      \nx_1 (abstraktaĵo) interesas x_2-on; x_2 interesiĝas pri x_1\nUzu tu'a en x_1 por nespecifa intereso pri objekto; interesiĝi (= {selci'i}).  Vidu ankaŭ {zdile}, {kucli}, {manci}, {kurji}.
cinse	gismu   \n-cin-      \nx_1 en ago/stato x_2 montras seksecon/genro/seksa orientiĝo x_3 (ka) laŭ normo x_4\nAnkaŭ: x_1 amindumas/flirtas; x_3 povus esti ka &lt;sekso aŭ rolo&gt;, ka &lt;allogiĝo al iu sekso&gt;, aŭ ka &lt;tipo de ago&gt;, ktp.; (adjektivo:) x_1 estas seksa; x_1 amindumita de x_2 (=cinfriti, cinjikca).  Vidu ankaŭ {gletu}, {pinji}, {plibu}, {vibna}, {vlagi}.
cinta	gismu      \nx_1 [materialo] estas farbo de pigmento/aktiva substanco x_2, en bazo de x_3\nVidu ankaŭ {pixra}, {skari}.
cinza	gismu      \nx_1 estas prenilo/manĝvergo/tenajlo/pinĉilo [ilo/korpoparto] por x_2 por pinĉi x_3-on\nVidu ankaŭ {tutci}.
cipni	gismu   \n-cpi-      \nx_1 estas birdo de speco x_2\nVidu ankaŭ {datka}, {gunse}, {jipci}, {nalci}, {pimlu}, {vofli}, {xruki}, {danlu}.
cipra	gismu   \n-cip-      \nx_1 (procedo/okazo) estas testo/provo pri eco/stato x_2 al subjekto x_3 (individuo/aro/kolektivaĵo)\nAnkaŭ: ekzameno , validigo; (aro en x_3 devas esti komplete specifita).  Vidu ankaŭ {ciksi}, {troci}, {jarco}, {pajni}, {saske}.
cirko	gismu   \n-cri-      \nx_1 perdas homon/aĵon x_2 je/proksime de x_3; x_1 perdas econ/trajton x_2 sub condiĉoj/situacio x_3\nx_2 povas esti specifa objekto, varo (kolektivaĵo), okazo (malofta por cirko), aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= {po'ecri}, posyselcri por neambigua {semantiko}).  Vidu ankaŭ {facki}, {ralte}, {sisku}, {claxu}, {jinga}, {pleji}, {canja}, {sfasa}, {dapma}, {binra}, {mipri}.
cirla	gismu      \nx_1 estas kvanto da/enhavas/konsistas el fromaĝo/kazeo el fonto x_2\nVidu ankaŭ {ladru}.
ciska	gismu   \n-ci'a-      \nx_1 skribas x_2-on sur elmontra/konserva medio x_3 per skribilo x_4; x_1 estas skribisto\nAnkaŭ: x_3 skribsurfaco.  (kp. papri, penbi, pinsi, tcidu, xatra, pixra, prina, finti por 'aŭtoro' aŭ specifa aŭtora verko, barna, pinka)
cisma	gismu      \nx_1 ridetas (vizaĝa esprimo)\nRideti je/al io (= {cismyfra}).  Vidu ankaŭ {xajmi}, {cmila}, {frumu}.
ciste	gismu   \n-ci'e-      \nx_1 (kolektivaĵo) sistemo interrilata per strukturo x_2 inter eroj x_3 (aro) montrantaj x_4 (ka)\nx_1 (aŭ x_3) estas sinergia en x_4; ankaŭ retaĵo; x_2 ankaŭ rilatoj, reguloj; x_3 ankaŭ elementoj (aro komplete specifita); x_4 sistemaj funkcioj/ecoj. Vidu ankaŭ cmavo {ci'e}, {cmima}, {girzu}, {gunma}, {stura}, {tadji}, {munje}, {farvi}, {ganzu}, {judri}, {julne}, {klesi}, {morna}, {tcana}.
citka	gismu   \n-cti-      \nx_1 manĝas/konsumas (transitiva verbo) x_2-on\nVidu ankaŭ {cidja}, {pinxe}, {tunlo}, {xagji}, {xaksu}, {batci}, {gusta}, {kabri}.
citno	gismu   \n-cit-   \n-ci'o-      \nx_1 estas juna [relative mallonga en forpasita daŭro] laŭ normo x_2\nAnkaŭ: aĝo (= {nilnalci'o}).  Vidu ankaŭ {cnino}, {slabu}, {verba}.
citri	gismu   \n-cir-      \nx_1 estas historio de x_2 laŭ x_3 (homo)/el vidpunkto x_3\nAnkaŭ: historia (= {cirtermo'i}, {cirvai}).  Vidu ankaŭ {muzga}.
citsi	gismu      \nx_1 estas sezono [cikla periodo], difinita de periodo/eco x_2, de jaro(j) x_3\nAnkaŭ: datreveno (= {citsydei}, {na'arcitsydei}), jubileo (= {mumnoncitsi}); la periodo de tempo povas esti longa aŭ mallonga laŭ indiko de x_2, kaj povas okazi ciun jaron aŭ ĉiun &lt;n&gt;-an jaron laŭ indiko de x_3 (defaŭlte ĉiun jaron); (x_2 kaj/aŭ x_3 povas bezoni metaforan limigon: djecitsi, pavdeicitsi; ankaŭ ekvinokso, solstico.  Vidu ankaŭ {cedra}, {crisa}, {critu}, {dunra}, {ranji}, {temci}, {vensa}, {jbena}.
civla	gismu   \n-civ-      \nx_1 estas pediko/pulo [sangosuĉanta artropodo] de speco/raso x_2, parasita de x_3\nVidu ankaŭ {cinki}, {jalra}.
cizra	gismu   \n-ciz-      \nx_1 estas stranga/devia/bizara por x_2 en eco x_3 (ka)\nAnkaŭ: alieca, mistera, nekutima, ekzota.  Vidu ankaŭ {ranxi}, {rirci}, {fange}, {banli}.
ckabu	gismu      \nx_1 estas kvanto da/enhavas/konsistas el kaŭĉuko el fonto x_2 de konsisto enhavanta x_3-on\nVidu ankaŭ {pruni}.
ckafi	gismu   \n-kaf-      \nx_1 estas kvanto da/enhavas/konsistas el kafo el fonto/fabo/grajno x_2\nTipo bazita en semo/fabo/grajno; ekz. ankaŭ cikoria kafo, senkafeinigita. Vidu ankaŭ {tcati}, infuzita el {folio}, {barja}, {cakla}.
ckaji	gismu   \n-kai-      \nx_1 karakteriziĝas per kvalito/eco/trajto/aspekto/dimensio x_2 (ka); x_2 evidentiĝas en x_1\nManifestaĵo/eco/kvalito/trajto/aspekto (= {selkai}).  Vidu ankaŭ cmavo {kai}, {tcaci}, {tcini}.
ckana	gismu   \n-cka-      \nx_1 estas lito el materialo x_2 por subteni x_3-on (homo/objekto/okazo)\nVidu ankaŭ {kamju}, {kicne}, {nilce}, {palta}, {cpana}, {vreta}, {jubme}, {stizu}, {matci}, {zbepi}, {palne}, {sarji}.
ckape	gismu   \n-cap-      \nx_1 estas danĝera por x_2 sub kondiĉoj x_3\nVidu ankaŭ te {bandu}, te {kajde}, te {marbi}, se {snura}, se {xalni}.
ckasu	gismu   \n-cas-      \nx_1 mokas/ridindigas x_2-on pri x_3 (eco/okazo) per ago x_4 (okazo)\nVidu ankaŭ {cmila}.
ckeji	gismu   \n-kej-   \n-cke-      \nx_1 hontas/sentas honton/ĉagrenon/humiligon sub kondiĉoj x_2 antaŭ komunumo/ĉeestantaro x_3\nVidu ankaŭ {cinmo}.
ckiku	gismu   \n-kik-      \nx_1 estas ŝlosilo por ŝloso x_2 kaj havas proprojn x_3
ckilu	gismu   \n-ci'u-      \nx_1 (si'o) estas skalo de unuoj por mezuri/observi/determini x_2-on (stato)\nVidu ankaŭ cmavo {ci'u}, {gradu}, {merli}, {cimde}, {manri}.
ckini	gismu   \n-ki'i-      \nx_1 estas rilata/parenca al x_2 laŭ rilato x_3\nVidu ankaŭ cmavo {ki'i}, {ponse}, {srana}, {steci}, {mapti}, {sarxe}, {fange}.
ckire	gismu   \n-kir-      \nx_1 dankas al x_2 por x_3 (okazo/eco)\nAnkaŭ: dankado (= {nunckire}), dankemo (= {kamckire}).  Vidu ankaŭ {cinmo}, {friti}, {pluka}.
ckule	gismu   \n-kul-   \n-cu'e-      \nx_1 estas lernejo/instituto/akademio ĉe x_2 instruanta temojn x_3 al x_4 administrata de x_5\nAnkaŭ: kolegio, universitato.  Vidu ankaŭ {cilre}, {ctuca}, {tadni}.
ckuliki	fu'ivla      \nx_1 estas moskito de speco/raso x_2\nVidu ankaŭe {blusfani}
ckunu	gismu   \n-ku'u-      \nx_1 estas konifero/pino/abio de speco/raso x_2 kun strobiloj x_3\nVidu ankaŭ {tricu}.
cladu	gismu   \n-lau-      \nx_1 estas laŭta/brua ĉe punkto de observado x_2 laŭ normo x_3\nVidu ankaŭ {savru}.
clani	gismu   \n-cla-      \nx_1 estas longa laŭ dimensio/direkto x_2 (defaŭlte plej longa dimensio) laŭ mezurnormo x_3\nVidu ankaŭ {slabu}, {condi}, {ganra}, {rotsu}, {tordu}, {barda}, {ganra}, {gutci}, {minli}, {rotsu}.
claxu	gismu   \n-cau-      \nx_1 estas sen x_2; x_2 mankas al x_1\nVidu ankaŭ cmavo {cau}, {cirko}, {kunti}, {nitcu}, {pindi}, {banzu}.
clika	gismu      \nx_1 estas musko/likeno de speco/raso x_2 kreskanta sur x_3; (adjektivo:) x_1 estas muska\nVidu ankaŭ {mledi}.
clira	gismu   \n-lir-      \nx_1 (okazo) estas frua laŭ normo x_2\nVidu ankaŭ {lerci}.
clite	gismu   \n-lit-      \nx_1 estas ĝentila pri afero x_2 laŭ normo/kutimo x_3\nAnkaŭ: formala, rita.  Vidu ankaŭ {ritli}.
cliva	gismu   \n-liv-   \n-li'a-      \nx_1 foriras/sinapartigas de x_2 tra vojo x_3\nAnkaŭ: x_1 forlasas x_2-on.  (kp. litru. canci, vimcu, lebna, litru, muvdu)
clupa	gismu   \n-cup-      \nx_1 estas maŝo/cirkvito de x_2 [materialo]\nAnkaŭ: maŝo (= skoclupa, saljgeclupa; ne estas indiko pri formo, nur ke la ekstremoj kuniĝas); ferma kurbo difinita de aro da punktoj (= {cuptai}).  Vidu ankaŭ {djine}.
cmaci	gismu      \nx_1 estas matematiko de tipo/priskribanta x_2-on\nVidu ankaŭ {mekso}.
cmalu	gismu   \n-cma-      \nx_1 estas malgranda/eta laŭ eco/dimensio(j) x_2 (ka) kompare kun normo x_3\nVidu ankaŭ {caxno}, {cinla}, {jarki}, {tordu}, {barda}.
cmana	gismu   \n-ma'a-      \nx_1 estas monto/[altejo]/[pinto] altiĝanta super grundo x_2\nVidu ankaŭ {punli}, {derxi}.
cmavo	gismu   \n-ma'o-      \nx_1 estas strukturvorto de gramatika klaso x_2, kun signifo/funkcio x_3 en uzo (lingvo) x_4\nx_4 povas esti specifa uzo (kun interna lingvoloko) aŭ lingvo priskribo; x_3 kaj x_4 povas esti nura ekzemplo de uzo de la cmavo aŭ efektiva esprimo; cmavo-listo, se fizika objekto (= (loi) ma'oste); se temas pri la mensa konstruaĵo (ekz. proponi aldoni novan cmavo al la cmavo-listo = ma'orpoi, ma'orselcmi, ma'orselste).  Vidu ankaŭ {gismu}, {lujvo}, {gerna}, {smuni}, {valsi}.
cmene	gismu   \n-cme-   \n-me'e-      \nx_1 (citita(j) vorto(j)) estas (la) nomo/titolo/etikedo de x_2 uzata de x_3 (homo)\nAnkaŭ: x_2 estas nomata x_1 fare de x_3 (= selcme por reordigitaj {lokoj}).  Vidu ankaŭ cmavo {me'e}, {gismu}, {tcita}, {valsi}, {judri}.
cmila	gismu   \n-mi'a-      \nx_1 ridas (emocia esprimo)\nx_1 ridas je x_2 (= {mi'afra}).  Vidu ankaŭ {ckasu}, {frumu}, {xajmi}, {cisma}.
cmima	gismu   \n-mim-   \n-cmi-      \nx_1 estas membro/elemento de aro x_2; x_1 apartenas al grupo x_2; x_1 estas inter grupo x_2\nx_1 povas esti kompleta aŭ nekompleta listo de membroj; x_2 estas normale markita per la'i/le'i/lo'i, difinante la aron per ĝiaj komunaj ecoj, kvankam ĝi povas esti kompleta nombrado de la membraro.  Vidu ankaŭ {ciste}, {porsi}, {jbini}, {girzu}, {gunma}, {klesi}, cmavo {mei}, {kampu}, {lanzu}, {liste}.
cmoni	gismu   \n-cmo-   \n-co'i-      \nx_1 eligas ĝemon/krion [ne-lingva eligo] x_2 esprimante x_3-on (eco)\nAnkaŭ: kriegi, plejmultaj bestaj blekoj, ekz. boji, kluki, miaŭi, heni, muĝi, grunti, ululi, trili, ĉirpi, pepi. Vidu ankaŭ {krixa}, {bacru}, {cusku}, {cortu}.
cnano	gismu   \n-na'o-      \nx_1 [valoro] estas mezkvanto/averaĝo en eco/kvanto x_2 (ka/ni) inter x_3 (aro) laŭ normo x_4\n(x_3 specifas la kompletan aron)); Vidu ankaŭ {tcaci}, {fadni}, {kampu}, {lakne}, {tarti}, {rirci}.
cnebo	gismu   \n-neb-   \n-ne'o-      \nx_1 estas (la) kolo [korpoparto] de x_2; [metafore: relative mallarĝa punkto]\nVidu ankaŭ {galxe}, {cutne}.
cnemu	gismu   \n-nem-   \n-ne'u-      \nx_1 (aganto) rekompencas x_2-on [recipient] pro nekutima x_3 (okazo/eco) per premio x_4\nDiferencas de gajnita pago pro netipa naturo; rekompencoj ne nepre estas pozitivaj sed ili estas iel merititaj el la vidpunkto de la rekompencanto: pozitiva rekompenco (= {zanyne'u}), puno (= {malne'u}, {sfane'u}); x_4 povas esti specifa objekto, varo (kolektivaĵo), okazo, aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= {posne'u}, posyvelne'u por neambigua {semantiko}).  Vidu ankaŭ {dunda}, {friti}, {jerna}, {jinga}, {jivna}, {pleji}, {sfasa}, {venfu}, {prali}, {dapma}.
cnici	gismu   \n-nic-      \nx_1 estas neta/nekonfusa/bonorda laŭ eco/kvanto x_2 (ka/ni)\nVidu ankaŭ {cunso}, {kalsa}.
cnino	gismu   \n-nin-   \n-ni'o-      \nx_1 estas nova/nekonata por observanto x_2 en trajto x_3 (ka) laŭ normo x_4; x_1 estas novaĵo\nVidu ankaŭ {nuzba}, {slabu}, {citno}, se {djuno}.
cnisa	gismu   \n-nis-      \nx_1 estas kvanto da/enhavas/konsistas el plumbo (Pb); [metafore: peza, malleable, mola metalo]\nVidu ankaŭ {jinme}, {tinci}.
cnita	gismu   \n-nit-   \n-ni'a-      \nx_1 estas rekte/vertikale sub x_2 en referenckadro x_3\nAnkaŭ: malsupra, suba.  Vidu ankaŭ {dizlo}, {gapru}, {galtu}, {farna}, {loldi}.
co	cmavo   \n-col-      \nrenversilo de tanru; permesas modifanton kun sekvantaj sumti sen sumti-ligiloj                                                                  -
co'a	cmavo   \n-co'a-      \nintervala konturo de okazo: komenciĝante                                      &gt;|&lt;    |\nEk- (= co'a(r)-).  Vidu ankaŭ {cfari}, {krasi}, {clira}.
co'e	cmavo   \n-com-   \n-co'e-      \nelipsa/nespecifa rilato
coi	cmavo   \nCOI      \nViiĝo: Salutoj! Saluton!
cokcu	gismu   \n-cko-      \nx_1 sorbas/suĉas x_2-on el x_3 en x_4-on; x_1 estas sorba\nVidu ankaŭ {panje}, {sakci}, {lacpu}.
condi	gismu   \n-con-   \n-cno-   \n-coi-      \nx_1 estas profunda laŭ direkto/eco x_2 disde referenca punkto x_3 laŭ normo x_4\nVidu ankaŭ {clani}, {caxno}, {bargu}, {ganra}, {rotsu}, {barda}, {gutci}, {minli}.
cortu	gismu   \n-cor-   \n-cro-      \nx_1 doloriĝas/sentas doloron je x_2; x_2 doloras al x_1\nVidu ankaŭ {cinmo}, {xrani}.
co'u	cmavo   \n-co'u-      \nintervala konturo de okazo: finiĝante (eĉ se ne kompleta)                     |  &gt;&lt; |\nFiniĝante (= co'u(r)-).  Vidu ankaŭ {sisti}, {fanmo}.
cpacu	gismu   \n-cpa-      \nx_1 akiras/havigas al si/obtenas/akceptas x_2-on el fonto x_3 [ne implicas antaŭan posedanton]\nAnkaŭ: venigi, alporti, eltiri, eligi; akcepti donacon (= {seldu'acpa}).  Vidu ankaŭ {punji}, {lebna}, {vimcu}.
cpana	gismu      \nx_1 estas sur [la supra surfaco de] x_2 en referenckadro/gravito x_3\n(x_1 povas esti objekto aŭ okazo); Vidu ankaŭ se {vasru}, {jbini}, {zvati}, {nenri}, {vreta}, {ckana}, {diklo}, {jibni}, {lamji}, {zutse}, punji por meti sur {ion}, {sarji}, {zbepi}.
cpare	gismu   \n-par-      \nx_1 grimpas/rampas sur surfaco x_2 en direkto x_3 per x_4 [membroj/iloj]\nVidu ankaŭ {klama}, {litru}, {bajra}, {farlu}, {plipe}.
cpedu	gismu   \n-cpe-      \nx_1 petas x_2-on de x_3 en maniero x_4\nAnkaŭ: postuli (= {mi'ecpe}); x_4 estas esprimrimedo Vidu ankaŭ ve {cusku}.: peto povas esti indikita per parolo, skribo, aŭ ago (ekz. peticioj ofte estas skribaj, dum almozpeto povas esti indikita per ago aŭ eĉ kondutmaniero/sinteno).  (kp. pikci, te preti, te frati, se spuda, danfu)
cpina	gismu      \nx_1 estas pikanta/pipra/spica/jukiga/agaca al senso x_2\nAnkaŭ: pika (= {pecycpina}).  Vidu ankaŭ {vrusi}, {kukte}, {cidja}, {panci}, {sumne}.
cradi	gismu      \nx_1 brodkastas/disaŭdigas [per radioondoj] x_2-on per stacio/frekvenco x_3 al [radio]ricevilo x_4\nAnkaŭ: x_1 estas brodkastanto.  Vidu ankaŭ {tivni}, {benji}, {tcana}.
crane	gismu   \n-cra-      \nx_1 estas antaŭ/fronte de x_2 kiu alfrontas/en referenckadro x_3\nAnkaŭ: x_3 estas la normo pri orientiĝo por x_2. Vidu ankaŭ {sefta}, {flira}, {trixe}, {mlana}, {pritu}, {zunle}.
creka	gismu   \n-cek-      \nx_1 estas ĉemizo/bluzo [korposupra vesto, ne nepre kun manikoj aŭ butonoj] el materialo x_2\nVidu ankaŭ {taxfu}.
crepu	gismu   \n-rep-      \nx_1 (aganto) rikoltas/falĉas/kolektas produkton/objektojn x_2 el fonto/etendaĵo x_3\nVidu ankaŭ {critu}, {sombo}, {jmaji}.
cribe	gismu   \n-rib-      \nx_1 estas urso de speco/raso x_2\nVidu ankaŭ {danlu}, {mabru}.
